paper_id,keyword_match
f7891683eecd12b3908862fc7ef1d341ca7a293c,"['influenza', 'tic', 'monkeypox', 'ebola virus', 'pica', 'ether']"
a751eee7f538e9e54dbf1b65b0f90cc4579faec8,"['tic', 'middle east respiratory syndrome coronavirus', 'middle east respiratory syndrome', 'orf', 'severe acute respiratory syndrome', 'ether']"
c62c15ef605bc28f887474ad16e13169c2ab2f53,"['tic', 'pain']"
e50dbdfdcc0d5c3e17a1ee6cc3b7d71ef3162868,"['tic', 'ether']"
8eb99586e9103599ab2f58cc33ca94cd0b60ae53,"['parainfluenza', 'influenza', 'tic', 'erythromycin', 'moraxella catarrhalis', 'pseudomonas aeruginosa', 'staphylococcus aureus', 'rhinovirus', 'adenovirus', 'tetracycline', 'chloramphenicol', 'streptococcus pneumoniae']"
10fe3ae2b4534a76fc5ec7b5f7b670e767675f5d,"['transcription', 'tic', 'water', 'rigi', 'thc', 'pica', 'nr', 'severe acute respiratory syndrome', 'ether', 'elm']"
a7804d77d1a75810af0148d8fea8acbe2941f1b9,"['influenza', 'cox', 'tic', 'echovirus', 'hepatitis c', 'dengue', 'rigi', 'pica', 'nr', 'elm']"
b950bbe60ddcd883c266d6494af67eb0e6bd9277,"['tic', 'aids', 'fits']"
5d3612cd95331a2f0c43ef9d03ce583b5ff8c995,"['transcription', 'tic', 'respiratory distress', 'nlr', 'asthma', 'nr', 'ether', 'mapk']"
48b7966e4d83d9e9789c35151fd6d870dbc6551a,"['lopinavir', 'ritonavir', 'tic', 'hearing loss', 'rheumatoid arthritis', 'rash', 'erythema', 'rheumatoid', 'fits', 'systemic lupus erythematosus', 'hydroxychloroquine sulfate', 'headache', 'azithromycin', 'malaria', 'digitalis', 'herpes simplex', 'rigi', 'hydroxychloroquine', 'chloroquine sulfate', 'pica', 'chloroquine phosphate', 'psoriasis', 'severe acute respiratory syndrome', 'chloroquine']"
8bcbb998e7067bab377471601a3e72e50c2fe24f,"['influenza', 'oxygen', 'tic', 'fits', 'nr', 'ether', 'elm']"
58869cc8053741f55e3db6e1d45e758a79e3fb3f,"['influenza', 'tic', 'respiratory distress', 'rigi', 'thc', 'nr', 'severe acute respiratory syndrome', 'ether']"
ad2ac6290bd819dc91338a17298350d0abc17922,"['tic', 'aved', 'ether']"
2d99df39f474b652e4c61e1d3e166f43020c3524,"['cox', 'tic', 'thc', 'infertility', 'ether']"
aa5a99e67d3e887b3fa88575fb0d4a662d0a60ce,"['influenza', 'tic', 'falls', 'fits', 'thc', 'pica', 'nr', 'ether', 'elm']"
64b327001f8fa95b83dc23259a2ad617be12498c,"['atazanavir', 'human immunodeficiency virus type 1', 'tic', 'darunavir', 'nr', 'ether']"
da3014104863a5bb44aef3ed816a61682c8b1ab1,"['influenza', 'tuberculosis', 'tic', 'fits', 'rigi', 'nr', 'ether']"
854e3c7cd6e602307ef25e827baaa5b45a6ddcd3,"['tic', 'thc', 'nr', 'ether']"
bbbd306d66ca6dfc560f3ac4ff467b42f33785a6,"['glutamine', 'influenza', 'transcription', 'alcohol', 'carbenicillin', 'cytidine', 'tic', 'remdesivir', 'nitrogen', 'zidovudine', 'uracil', 'balapiravir', 'maraviroc', 'hiv infection', 'hepatitis c', 'medronic acid', 'chemokine', 'streptomycin', 'ethanol', 'dasabuvir', 'dengue', 'hepatitis c virus', 'dipyridamole', 'sofosbuvir', 'water', 'herpes simplex', 'rigi', 'agar', 'orf', 'aved', 'nr', 'ethyl acetate', 'acetone', 'ether', 'ribavirin', 'teriflunomide']"
ec223563f366aa8ed21ec84d1b0d21a911362cfa,"['tic', 'sabin vaccine', 'histidine', 'arginine', 'severe acute respiratory syndrome', 'ether', 'lysine', 'ribavirin']"
478b438a3d890c8a224321781dee4b46e21b9ca1,"['transcription', 'tic', 'senega', 'water', 'rigi', 'thc', 'orf', 'nr', 'severe acute respiratory syndrome']"
f854d7b750541d65c48df953a65028a50ce57881,"['influenza', 'transcription', 'cox', 'tic', 'creatinine', 'pain', 'chest pain', 'thc', 'nr', 'severe acute respiratory syndrome', 'elm']"
0537863d6c059cc9cf5ec8dd0beb27dec5d9d801,"['wine', 'tic', 'common cold', 'falls', 'mesna', 'fits', 'thc', 'hh', 'aved']"
690d1d75ad95a10820758008fc82a2572d1181e2,"['covid19', 'tic', 'fits', 'thc', 'elm']"
c831d405327c80b5e2b93695063542fd1cdd168f,"['covid19', 'tic', 'rigi', 'pica', 'ether']"
7116ddab89281e7641fb659019c90ee3715f5039,"['veillonella', 'tic', 'cystic fibrosis', 'asthma', 'cough', 'pica', 'nr']"
d411ca90dbbae255928ea38f7b05482be861fd10,"['erk', 'tic', 'rigi', 'pica', 'severe acute respiratory syndrome', 'ether']"
56a81431a148344381a1da80c877885f3f3d6d59,"['transcription', 'tic', 'pica', 'nr', 'sodium bicarbonate', 'ether', 'chloroquine']"
af266fac8970a7960e96630a67d91bec5dda0335,"['covid19', 'tic', 'pica', 'nr', 'ether']"
4f5f812dec32f2da50e3b8bb7a63626f45933f6a,"['oxygen', 'tic', 'elm']"
fee658bdd0a16f3a1b955f6b051bc3c4f647ccdd,"['lopinavir', 'ritonavir', 'transcription', 'tic', 'pain', 'moxifloxacin', 'fatigue', 'cough', 'rigi', 'chloroquine phosphate', 'severe acute respiratory syndrome', 'abdominal pain', 'chloroquine']"
e1bd6ce36d65c253f39712d702a10c962bc3282b,"['influenza', 'measles', 'tuberculosis', 'tic', 'bcg vaccine', 'bcg', 'rigi', 'ether']"
