paper_id,keyword_match
8412bee19cdd2946083dbaf2945e346c533c872b,"['aplastic anemia', 'h syndrome', 'ganciclovir', 'parainfluenza infection', 'palivizumab', 'nr', 'prednisolone', 'myelodysplastic syndrome', 'human metapneumovirus', 'neuroblastoma', 'acute myeloid leukemia', 'cytomegalovirus', 'myelodysplastic', 'busulfan', 'nitric oxide', 'thalassemia', 'respiratory syncytial virus', 'alemtuzumab', 'methylprednisolone', 'hodgkin lymphoma', 'adenovirus infection', 'herpes simplex', 'c syndrome', 'parainfluenza', 'influenza', 'respiratory distress', 'rhinovirus', 'fluconazole', 'adenovirus', 'ribavirin', 'cyclophosphamide', 'ether', 'caspofungin', 'cidofovir', 'tic']"
bf183e6cff6c3d85b7affdc3bd4e5e15431393fa,"['gout', 'cefpodoxime', 'diphtheria', 'water', 'ceftriaxone', 'spiramycin', 'nr', 'haemophilus influenzae', 'mycoplasma pneumonia', 'hypotension', 'rigi', 'moxifloxacin', 'azithromycin', 'clindamycin', 'cotrimoxazole', 'arcanobacterium haemolyticum', 'rash', 'josamycin', 'influenza', 'aspirin', 'neisseria gonorrhoea', 'ofloxacin', 'rhinovirus', 'staphylococcus aureus', 'moraxella catarrhalis', 'ampicillin', 'cefixime', 'amoxicillin', 'clarithromycin', 'dirithromycin', 'mycoplasma pneumoniae', 'tuaminoheptane', 'roxithromycin', 'insomnia', 'hallucinations', 'bronchospasm', 'cox', 'lime', 'tic']"
8b56f0033bdf25d7be81dffb40b3528db2d5fe50,"['water', 'cough', 'pertussis', 'rigi', 'measles', 'hh', 'malaria', 'helicobacter pylori', 'influenza', 'tuberculosis', 'anthrax', 'monkeypox', 'ether', 'salmonella', 'pica', 'smallpox', 'tic']"
8a06bfad2d9c3569f75cfc56d26ba24d21b9a51f,"['lissencephaly', 'potassium', 'malt', 'thiamine', 'sulfur dioxide', 'acetazolamide', 'anisocoria', 'pam', 'water', 'doxycycline', 'hyperesthesia', 'nr', 'muscle atrophy', 'cyclosporine', 'mydriasis', 'scoliosis', 'meningioma', 'ophthalmoplegia', 'klebsiella sp', 'neck pain', 'hypotension', 'rigi', 'ataxia', 'cryptococcosis', 'intention tremor', 'cerebellar ataxia', 'keratitis', 'oxygen', 'nocardia', 'pain', 'scot', 'tremor', 'clindamycin', 'myasthenia gravis', 'deafness', 'procarbazine', 'glioma', 'furosemide', 'dexamethasone', 'prednisone', 'botulism', 'pyrimethamine', 'anencephaly', 'thrombocytopenia', 'hydrocephalus', 'spotted fever', 'potassium bromide', 'nystagmus', 'dystonia', 'porencephaly', 'insulin', 'lomustine', 'azathioprine', 'rabies', 'rigidity', 'diazepam', 'myoclonus', 'scra', 'cervical dystonia', 'barbital', 'trimethoprim', 'mannitol', 'endocrine', 'chlorhexidine', 'pica', 'thyroid', 'tic', 'amyloidosis', 'torticollis', 'phenobarbital', 'atlantoaxial subluxation']"
1845730427af9453ccca2cc206c464b40f15fb28,"['sodium fluoride', 'alanine', 'hh', 'transcription', 'cytochrome c', 'serine', 'severe acute respiratory syndrome', 'arginine', 'ether', 'tic']"
d43532b6a7070dc91a7f1afd7aac4341fd65e521,"['wnt', 'nr', 'rigi', 'influenza', 'urea', 'severe acute respiratory syndrome', 'limp', 'avian influenza', 'ether', 'salmonella', 'cox', 'tic', 'falls']"
6fdd65b4222967843f6c1a65693244abf0c837cd,"['xanthoma', 'prednisolone', 'rigi', 'pentoxifylline', 'proline', 'alanine', 'glucagon', 'prednisone', 'pemphigus', 'glutamine', 'c syndrome', 'calcinosis cutis', 'insulin', 'erythema', 'barbital', 'arginine', 'erk', 'cox', 'lime', 'tic', 'amyloidosis', 'calcinosis']"
edb9ba1b7f3585a22bad5d000cb303df2ff09b63,"['aved', 'nr', 'rigi', 'ataxia', 'pleconaril', 'echovirus', 'rotavirus', 'rhinovirus', 'adenovirus', 'ribavirin', 'orf', 'cox', 'pica', 'cidofovir', 'lime', 'tic']"
6e77816b285f471f4c0ba9b969622e35cad2030f,"['nitrogen', 'fluorescein', 'complement activation', 'water', 'ginseng', 'aved', 'aids', 'phosphoric acid', 'apoptosis', 'amylopectin', 'oxygen', 'glucose', 'nitric oxide', 'secretin', 'ethanol', 'pectin', 'inositol', 'glutathione', 'tuberculosis', 'anthrax', 'severe acute respiratory syndrome', 'ifn', 'chemokine', 'histamine', 'arginine', 'tnf', 'ether', 'hydrogen peroxide', 'tic', 'formaldehyde']"
a6ae0b0a1b76a367c6a95d58052c65b2c5feb850,"['etl', 'pertussis', 'rigi', 'ataxia', 'tlr', 'proline', 'hepatitis b virus', 'hepatitis b', 'rheumatoid', 'bacillus subtilis', 'transcription', 'salmonella typhi', 'lymphocytic choriomeningitis', 'herpes simplex', 'influenza', 'multiple sclerosis', 'tuberculosis', 'rheumatoid arthritis', 'insulin', 'serine', 'staphylococcus aureus', 'ifn', 'muscle weakness', 'mycobacterium tuberculosis', 'orf', 'tnf', 'ether', 'salmonella', 'cox', 'pica', 'tryptophan', 'tic']"
